Question,Answer,Source,Verb,Target
How are joseph black and carbon dioxide related?,carbon dioxide is a gas,joseph black,prepare,carbon dioxide
What does joseph black prepare?,carbon dioxide,joseph black,prepare,carbon dioxide
What is the relationship between b. ha c.va via and aa b. ha c.va?,parent taxon,b. ha c.va via,belong,aa b. ha c.va
Explain the connection between b. ha c.va via and aa b. ha c.va.,"is a genus of flowering plants in the genus ""B. ha c.va""",b. ha c.va via,belong,aa b. ha c.va
How are b. ha c.va via and aa b. ha c.va related?,aa b. ha c.va,b. ha c.va via,belong,aa b. ha c.va
What belongs aa b. ha c.va?,via,b. ha c.va via,belong,aa b. ha c.va
What does b. ha c.va via belong?,aa,b. ha c.va via,belong,aa b. ha c.va
Who or what belongs aa b. ha c.va?,via,b. ha c.va via,belong,aa b. ha c.va
What is the relationship between farmers and fruits?,farmer-farmer relationship,farmers,grow,fruits
Explain the connection between farmers and fruits.,fruit is a vegetable,farmers,grow,fruits
How are farmers and fruits related?,farmers grow fruits,farmers,grow,fruits
Who or what grows fruits?,farmers,farmers,grow,fruits
What is the relationship between mendel and seven pairs?,select,mendel,select,seven pairs
Explain the connection between mendel and seven pairs.,mendel is a physicist,mendel,select,seven pairs
How are mendel and seven pairs related?,mendel selects seven pairs,mendel,select,seven pairs
Who or what select seven pairs?,mendel,mendel,select,seven pairs
What is the relationship between soft drinks factory and how it?,is related to,soft drinks factory,study,how it
Explain the connection between soft drinks factory and how it.,is used to make drinks,soft drinks factory,study,how it
How are soft drinks factory and how it related?,soft drinks factory study how it.,soft drinks factory,study,how it
What does soft drinks factory study?,how it,soft drinks factory,study,how it
Who or what study how it?,soft drinks factory,soft drinks factory,study,how it
What is the relationship between queen and 12 days?,date of birth,queen,take,12 days
Explain the connection between queen and 12 days.,day of the week,queen,take,12 days
How are queen and 12 days related?,the same as 12 days,queen,take,12 days
Who or what takes 12 days?,queen,queen,take,12 days
What is the relationship between activity and soap?,is a mixture of two substances,activity,prepare,soap
Explain the connection between activity and soap.,activity is a form of cleaning,activity,prepare,soap
How are activity and soap related?,activity is a form of soap,activity,prepare,soap
What is the relationship between the year 1988 a.d and report?,is a list of events that took place during the year 1988 a.d.,the year 1988 a.d,prepare,report
Explain the connection between the year 1988 a.d and report.,the year 1988 a.d prepare report,the year 1988 a.d,prepare,report
How are the year 1988 a.d and report related?,prepare report,the year 1988 a.d,prepare,report
What does the year 1988 a.d prepare?,report,the year 1988 a.d,prepare,report
What is the relationship between excessive deposition and the reduction?,cause,excessive deposition,cause,the reduction
Explain the connection between excessive deposition and the reduction.,excessive deposition causes a decrease in the amount of water in a body,excessive deposition,cause,the reduction
How are excessive deposition and the reduction related?,excessive deposition causes the reduction,excessive deposition,cause,the reduction
What does excessive deposition cause?,reduction,excessive deposition,cause,the reduction
Who or what causes the reduction?,excessive deposition,excessive deposition,cause,the reduction
What is the relationship between agents and wind?,mutually exclusive,agents,like,wind
Explain the connection between agents and wind.,they are in contact with the wind,agents,like,wind
How are agents and wind related?,they interact with each other,agents,like,wind
Who or what likes wind?,agents,agents,like,wind
What is the relationship between the elements and atomic weights?,isotopes,the elements,study,atomic weights
Explain the connection between the elements and atomic weights.,elements are atoms,the elements,study,atomic weights
How are the elements and atomic weights related?,elements study atomic weights,the elements,study,atomic weights
What does the elements study?,atomic weights,the elements,study,atomic weights
Who or what study atomic weights?,the elements,the elements,study,atomic weights
What is the relationship between which blood vessels and veins?,blood vessels,which blood vessels,carry,veins
Explain the connection between which blood vessels and veins.,veins,which blood vessels,carry,veins
How are which blood vessels and veins related?,veins,which blood vessels,carry,veins
What does which blood vessels carry?,veins,which blood vessels,carry,veins
Who or what carry veins?,blood vessels,which blood vessels,carry,veins
What is the relationship between asexual reproduction and fission?,asexual reproduction,asexual reproduction,occur,fission
Explain the connection between asexual reproduction and fission.,asexual reproduction,asexual reproduction,occur,fission
How are asexual reproduction and fission related?,asexual reproduction occur fission,asexual reproduction,occur,fission
What does asexual reproduction occur?,fission,asexual reproduction,occur,fission
Who or what occurs fission?,asexual reproduction,asexual reproduction,occur,fission
What is the relationship between people and silkworms?,humans,people,rear,silkworms
Explain the connection between people and silkworms.,they feed on silkworms,people,rear,silkworms
How are people and silkworms related?,humans,people,rear,silkworms
